Model,Poison Rate,Recall,F1 Score,PR-AUC
Random Forest,0.05,0.9141914191419142,0.9269380925822643,0.9712201858063242
AdaBoost,0.05,0.6281628162816282,0.7542932628797886,0.8217577903040593
XGBoost,0.05,0.9471947194719472,0.8732251521298174,0.970220587146601
Random Forest,0.1,0.9108910891089109,0.9215358931552587,0.9654692441039086
AdaBoost,0.1,0.6347634763476347,0.7537557152188112,0.8079237293175348
XGBoost,0.1,0.9460946094609461,0.8078910286519493,0.9599717345290762
Random Forest,0.15,0.9163916391639164,0.8995680345572354,0.9573188018160453
AdaBoost,0.15,0.6281628162816282,0.7358247422680413,0.7794587972800512
XGBoost,0.15,0.9482948294829483,0.7463203463203463,0.9564190287108434
Random Forest,0.2,0.9042904290429042,0.8782051282051282,0.9470966863644225
AdaBoost,0.2,0.6347634763476347,0.740218088518281,0.786959133360695
XGBoost,0.2,0.9383938393839384,0.6320859577621342,0.9374929704030097
Random Forest,0.25,0.9141914191419142,0.8199309324124322,0.9436837779708027
AdaBoost,0.25,0.6270627062706271,0.747051114023591,0.772442527237585
XGBoost,0.25,0.9537953795379538,0.5624391826143367,0.9367187804519255
